filename,date,year,month,day,issue_number,url,local_path,status,size_bytes,error
kev_20171018_61.pdf,2017-10-18,2017,10,18,61,https://koszeg.hu/pictures/koszeg/kev/kev_20171018_61.pdf,koszeg_es_videke_archive\pdf\2017\kev_20171018_61.pdf,downloaded,8706563,
kev_20171114_62.pdf,2017-11-14,2017,11,14,62,https://koszeg.hu/pictures/koszeg/kev/kev_20171114_62.pdf,koszeg_es_videke_archive\pdf\2017\kev_20171114_62.pdf,downloaded,8854357,
kev_20171214_63.pdf,2017-12-14,2017,12,14,63,https://koszeg.hu/pictures/koszeg/kev/kev_20171214_63.pdf,koszeg_es_videke_archive\pdf\2017\kev_20171214_63.pdf,downloaded,10605358,
kev_20180124_64.pdf,2018-01-24,2018,1,24,64,https://koszeg.hu/pictures/koszeg/kev/kev_20180124_64.pdf,koszeg_es_videke_archive\pdf\2018\kev_20180124_64.pdf,downloaded,9590986,
kev_20180221_65.pdf,2018-02-21,2018,2,21,65,https://koszeg.hu/pictures/koszeg/kev/kev_20180221_65.pdf,koszeg_es_videke_archive\pdf\2018\kev_20180221_65.pdf,downloaded,9116400,
kev_20180314_66.pdf,2018-03-14,2018,3,14,66,https://koszeg.hu/pictures/koszeg/kev/kev_20180314_66.pdf,koszeg_es_videke_archive\pdf\2018\kev_20180314_66.pdf,downloaded,11565275,
kev_20180411_67.pdf,2018-04-11,2018,4,11,67,https://koszeg.hu/pictures/koszeg/kev/kev_20180411_67.pdf,koszeg_es_videke_archive\pdf\2018\kev_20180411_67.pdf,downloaded,8265393,
kev_20180516_68.pdf,2018-05-16,2018,5,16,68,https://koszeg.hu/pictures/koszeg/kev/kev_20180516_68.pdf,koszeg_es_videke_archive\pdf\2018\kev_20180516_68.pdf,downloaded,8510403,
kev_20180621_69.pdf,2018-06-21,2018,6,21,69,https://koszeg.hu/pictures/koszeg/kev/kev_20180621_69.pdf,koszeg_es_videke_archive\pdf\2018\kev_20180621_69.pdf,downloaded,8928671,
kev_20180720_70.pdf,2018-07-20,2018,7,20,70,https://koszeg.hu/pictures/koszeg/kev/kev_20180720_70.pdf,koszeg_es_videke_archive\pdf\2018\kev_20180720_70.pdf,downloaded,8453904,
